,amount,term,month,age,bad,education_Bachelor,education_High School or Below,education_Master or Above,education_college,gender_female,gender_male,month_num
0,1000,30,June,45,0,0,1,0,0,0,1,6
1,1000,30,July,50,0,1,0,0,0,1,0,7
2,1000,30,August,33,0,1,0,0,0,1,0,8
3,1000,15,September,27,0,0,0,0,1,0,1,9
4,1000,30,October,28,0,0,0,0,1,1,0,10
5,300,7,July,35,0,0,0,1,0,0,1,7
6,1000,30,September,29,0,0,0,0,1,0,1,9
7,1000,30,May,36,0,0,0,0,1,0,1,5
8,1000,30,May,28,0,0,0,0,1,0,1,5
9,800,15,April,26,0,0,0,0,1,0,1,4
10,300,7,April,29,0,0,0,0,1,0,1,4
11,1000,15,September,39,0,0,1,0,0,0,1,9
12,1000,30,December,26,0,0,0,0,1,0,1,12
13,900,7,May,26,0,0,0,0,1,1,0,5
14,1000,7,May,27,0,0,1,0,0,0,1,5
15,800,15,July,26,0,0,0,0,1,0,1,7
16,1000,30,July,40,0,0,1,0,0,0,1,7
17,1000,15,January,32,0,0,1,0,0,0,1,1
18,1000,30,August,32,0,0,1,0,0,0,1,8
19,800,30,April,26,0,0,0,0,1,0,1,4
20,1000,30,July,26,0,0,0,0,1,0,1,7
21,1000,30,May,43,0,0,1,0,0,1,0,5
22,1000,30,October,25,0,0,1,0,0,0,1,10
23,1000,15,August,26,0,0,0,0,1,0,1,8
24,1000,30,March,26,0,0,0,0,1,0,1,3
25,1000,30,August,29,0,0,1,0,0,0,1,8
26,800,15,April,39,0,1,0,0,0,0,1,4
27,1000,15,June,34,0,1,0,0,0,0,1,6
28,1000,30,June,31,0,0,0,0,1,0,1,6
29,1000,30,November,33,0,0,0,0,1,0,1,11
30,800,15,February,33,0,0,1,0,0,0,1,2
31,1000,30,March,37,0,0,0,0,1,0,1,3
32,1000,30,May,27,0,0,0,0,1,0,1,5
33,1000,30,October,37,0,0,0,0,1,0,1,10
34,800,15,January,33,0,0,0,0,1,0,1,1
35,800,15,January,29,0,1,0,0,0,0,1,1
36,1000,30,July,27,0,0,1,0,0,0,1,7
37,700,15,September,33,0,0,1,0,0,0,1,9
38,1000,15,May,24,0,0,0,0,1,0,1,5
39,1000,30,February,21,0,1,0,0,0,0,1,2
40,1000,15,September,32,0,0,0,0,1,1,0,9
41,800,15,February,30,0,0,0,0,1,0,1,2
42,1000,7,January,31,0,1,0,0,0,0,1,1
